file,symmetry,clutter

Image_0-3ATYY4.png,0.8614624385803323,18

Image_0-6JNS7M.png,0.8557430685858914,19

Image_0-6NBE7Z.png,0.7942352279146426,47

Image_0-CBTJTK.png,0.7875190467457353,47

Image_0-EIT0RD.png,0.8545124549127806,22

Image_0-P2Z3RZ.png,0.8398545039945725,9

Image_0-P5E5IT.png,0.887404003431642,7

Image_0-P9UB1H.png,0.8734623289111768,9

Image_0-Q020H5.png,0.8544701545333263,17

Image_0-QI7FRK.png,0.7915506333399778,35

Image_0-UKVR3B.png,0.887012436939361,8

Image_0-Z58QNY.png,0.7948947707941728,38

11 78K_2.png,0.9421410895599688,8

11 39K.png,0.938778941062928,14

1 TEM-BF 94K defocus 0 um.png,0.8984807440823249,34

